Quarter,Bread & Cereals,Meat & Seafoods,Dairy,Fruit & Vegetables,Food Products n.e.c.,Non-alcoholic Beverages
2020-Q1,5.9,7.7,7.4,4.0,5.8,2.0
2020-Q2,3.9,6.5,5.6,9.5,4.5,2.3
2020-Q3,1.9,4.8,3.0,8.3,4.1,2.5
2020-Q4,1.2,4.8,2.4,2.2,2.9,3.0
2021-Q1,-2.0,1.8,-0.3,-9.1,-1.1,0.4
2021-Q2,0.0,2.9,0.4,0.7,0.5,1.6
2021-Q3,0.7,2.7,0.4,-2.7,1.4,1.6
2021-Q4,1.7,2.0,3.0,-0.2,1.7,2.8
2022-Q1,4.4,5.8,4.8,10.1,5.2,8.3
2022-Q2,7.2,6.4,5.5,9.0,7.3,7.9
2022-Q3,11.8,7.6,13.6,17.4,10.6,10.4
2022-Q4,12.9,8.4,14.4,9.8,11.9,9.5
2023-Q1,10.8,4.3,15.1,5.9,11.8,7.2
2023-Q2,10.9,2.7,15.0,1.0,10.5,6.8
2023-Q3,8.9,1.7,8.0,-5.4,6.8,4.9
2023-Q4,7.7,-1.9,5.2,-2.2,6.8,7.1
2024-Q1,7.3,-0.9,2.9,-1.2,4.0,5.5
2024-Q2,3.4,-0.2,1.6,3.6,3.7,6.1
2024-Q3,1.8,0.9,-0.2,9.1,4.1,3.9
2024-Q4,2.2,4.0,-0.9,4.5,2.9,3.1
2025-Q1,2.5,3.7,0.1,7.6,3.3,4.0
