Quarter,Vegetable YoY (%),Freight YoY (%),Rainfall YoY (%),PPI YoY (%)
2020-Q1,3.2729048538310934,2.152466367713002,224.37981180496155,5.810928013876837
2020-Q2,6.5951216444124485,0.8021390374331583,-5.288135593220344,5.0643776824034425
2020-Q3,8.667448885010616,-1.1524822695035408,45.86583463338534,0.420521446593769
2020-Q4,4.043661014640487,-1.2313104661389684,21.39498432601883,-0.4170141784820669
2021-Q1,-3.234720573044884,-1.0535557506584747,-21.14978902953587,-1.80327868852459
2021-Q2,2.032910403390346,0.7957559681697646,38.94058697208305,-0.4901960784313819
2021-Q3,-0.8179749779393064,3.1390134529148077,15.187165775401068,5.276381909547734
2021-Q4,-0.8514449138701141,3.918076580587715,131.18140735958684,7.872696817420444
2022-Q1,6.555245843030519,5.235137533274181,83.97993311036791,9.766277128547586
2022-Q2,6.8214466506380935,8.333333333333325,1.5455950540958163,11.24794745484401
2022-Q3,17.081781803412564,13.73913043478261,37.604456824512525,10.34208432776451
2022-Q4,9.559843496996177,12.85347043701799,-45.51801172856744,8.77329192546583
2023-Q1,5.605014484483753,10.539629005059028,-72.7322305035448,4.562737642585546
2023-Q2,2.374356512748784,4.291497975708514,-11.618467782851347,3.3210332103321027
2023-Q3,-6.361046761844357,-2.2935779816513846,-45.344129554655865,0.7209805335256059
2023-Q4,-0.1780385092637781,2.353834472285521,-6.509482316760639,-0.49964311206280865
2024-Q1,-0.0547416221854094,2.9748283752860427,120.13333333333338,2.036363636363636
2024-Q2,3.8062646070288495,4.736024844720488,-42.88174512055109,1.857142857142846
2024-Q3,8.731432682577731,5.555555555555558,56.54320987654322,1.503221188260584
2024-Q4,6.348504647563181,-1.4094955489614258,57.730263157894754,4.375896700143467
