"Quarter","Vegetable YoY (%)","PPI YoY (%)","Freight YoY (%)","Rainfall YoY (%)"
"2020-Q1",2.28030756749814,3.23144104803494,2.152466367713,NA
"2020-Q2",-0.0648815627589635,1.12456747404845,0.802139037433158,NA
"2020-Q3",0.740681272429618,-0.256629597946978,-1.15248226950354,NA
"2020-Q4",0.607936989834916,-0.255754475703318,-1.23131046613897,NA
"2021-Q1",0.733324449226047,0,-1.05355575065847,NA
"2021-Q2",3.10713860536226,3.50727117194183,0.795755968169765,NA
"2021-Q3",2.55655065097682,7.80445969125214,3.13901345291481,NA
"2021-Q4",3.23662689523589,11.7094017094017,3.91807658058771,NA
"2022-Q1",4.8683031737006,15.0592216582064,5.23513753327418,NA
"2022-Q2",6.11799519975285,18.099173553719,8.33333333333333,NA
"2022-Q3",7.19629939550136,14.1607000795545,13.7391304347826,NA
"2022-Q4",7.59044040602381,10.8645753634277,12.853470437018,NA
"2023-Q1",6.84716119175045,5.95588235294118,10.539629005059,NA
"2023-Q2",5.85782071522045,1.46955913226032,4.29149797570851,NA
"2023-Q3",5.23045325850375,1.88153310104529,-2.29357798165138,NA
"2023-Q4",4.17743790306448,1.2422360248447,2.35383447228552,NA
"2024-Q1",3.4422438642381,2.08188757807077,2.97482837528604,NA
"2024-Q2",3.77121337590764,3.37931034482759,4.73602484472049,NA
"2024-Q3",2.76429390699593,3.07797537619698,5.55555555555556,NA
"2024-Q4",2.30339239615288,5.11247443762781,-1.40949554896143,NA
